자치구,행정동,만0~2세_인구수,만3~5세_인구수,만0~2세_국공립,만0~2세_가정,만0~2세_민간,만0~2세_기타,만3~5세_국공립,만3~5세_가정,만3~5세_민간,만3~5세_기타,만3~5세_유치원,만0~2세_어린이집,만3~5세_어린이집,만0~2세_가정보육,만3~5세_가정보육,만0~2세_어린이집_이용률,만0~2세_국공립_이용률,만0~2세_가정_이용률,만0~2세_민간_이용률,만0~2세_기타_이용률,만3~5세_어린이집_이용률,만3~5세_국공립_이용률,만3~5세_가정_이용률,만3~5세_민간_이용률,만3~5세_기타_이용률,만3~5세_유치원_이용률,만0~2세_추가이용_희망아동수,만3~5세_추가이용_희망아동수,만0~2세_미충족_보육수요,만3~5세_미충족_보육수요,만0~2세_전체_보육수요,만3~5세_전체_보육수요,만0~2세_국공립_희망아동수,만3~5세_국공립_희망아동수,만0~2세_국공립_미충족_보육수요,만3~5세_국공립_미충족_보육수요,만0~2세_국공립_보육수요,만3~5세_국공립_보육수요
서대문구,홍은1동,355,507,122,41,13,7,42,0,15,10,238,183,67,172,202,0.5154929577464789,0.3436619718309859,0.1154929577464788,0.0366197183098591,0.0197183098591549,0.1321499013806706,0.0828402366863905,0.0,0.029585798816568,0.019723865877712,0.4694280078895463,20.468,39.576,0.05765633802816902,0.07805917159763313,0.5731492957746479,0.2102090729783037,127.858,72.31599999999999,0.36016338028169015,0.1426351084812623,0.703825352112676,0.22547534516765277
서대문구,홍은2동,301,382,47,9,36,0,49,0,26,0,150,92,75,209,157,0.3056478405315614,0.1561461794019933,0.0299003322259136,0.1196013289036544,0.0,0.1963350785340314,0.1282722513089005,0.0,0.0680628272251308,0.0,0.3926701570680628,24.871,29.990000000000002,0.08262790697674419,0.07850785340314137,0.3882757475083056,0.2748429319371728,151.22699999999998,56.443000000000005,0.5024152823920265,0.14775654450261783,0.6585614617940198,0.2760287958115183
서대문구,홍제1동,412,503,109,63,59,0,104,0,111,0,146,231,215,181,142,0.5606796116504854,0.2645631067961165,0.1529126213592233,0.1432038834951456,0.0,0.4274353876739563,0.2067594433399602,0.0,0.220675944333996,0.0,0.2902584493041749,21.538999999999998,27.352,0.05227912621359223,0.05437773359840954,0.6129587378640776,0.4818131212723658,142.757,58.492000000000004,0.346497572815534,0.11628628230616303,0.6110606796116504,0.3230457256461232
서대문구,홍제2동,212,243,95,69,21,0,152,0,5,0,201,185,157,27,0,0.8726415094339622,0.4481132075471698,0.3254716981132075,0.0990566037735849,0.0,0.6460905349794238,0.6255144032921811,0.0,0.0205761316872428,0.0,0.8271604938271605,3.213,4.422,0.015155660377358491,0.01819753086419753,0.8877971698113207,0.6642880658436213,31.491,2.229,0.1485424528301887,0.00917283950617284,0.5966556603773585,0.634687242798354
서대문구,홍제3동,188,257,120,27,7,0,106,0,58,0,117,154,164,34,0,0.8191489361702128,0.6382978723404256,0.1436170212765957,0.0372340425531914,0.0,0.6381322957198443,0.4124513618677042,0.0,0.22568093385214,0.0,0.4552529182879377,4.045999999999999,2.574,0.021521276595744678,0.01001556420233463,0.8406702127659574,0.6481478599221789,28.389999999999997,5.925,0.1510106382978723,0.023054474708171204,0.7893085106382979,0.4355058365758754
서초구,내곡동,404,598,236,19,8,108,193,0,0,158,152,371,351,33,95,0.9183168316831684,0.5841584158415841,0.047029702970297,0.0198019801980198,0.2673267326732673,0.5869565217391305,0.3227424749163879,0.0,0.0,0.2642140468227424,0.2541806020066889,3.9269999999999996,19.494000000000003,0.009720297029702969,0.03259866220735787,0.9280371287128714,0.6195551839464883,42.039,46.655,0.10405693069306932,0.07801839464882944,0.6882153465346534,0.40076086956521734
서초구,반포1동,540,870,205,60,152,0,77,0,120,0,129,417,197,123,544,0.7722222222222223,0.3796296296296296,0.1111111111111111,0.2814814814814815,0.0,0.2264367816091954,0.0885057471264367,0.0,0.1379310344827586,0.0,0.1482758620689655,14.636999999999999,95.318,0.027105555555555553,0.10956091954022988,0.7993277777777779,0.3359977011494253,115.34299999999999,194.56900000000002,0.21359814814814812,0.2236425287356322,0.5932277777777777,0.3121482758620689
서초구,반포2동,280,535,134,20,67,0,76,0,79,0,153,221,155,59,227,0.7892857142857143,0.4785714285714286,0.0714285714285714,0.2392857142857143,0.0,0.2897196261682243,0.1420560747663551,0.0,0.1476635514018691,0.0,0.2859813084112149,7.021,41.956,0.025075,0.07842242990654207,0.8143607142857142,0.36814205607476636,53.241,84.512,0.19014642857142858,0.15796635514018692,0.6687178571428571,0.30002242990654204
서초구,반포3동,445,560,154,100,21,0,111,0,22,0,139,275,133,170,288,0.6179775280898876,0.346067415730337,0.2247191011235955,0.047191011235955,0.0,0.2375,0.1982142857142857,0.0,0.0392857142857142,0.0,0.2482142857142857,20.23,52.018,0.04546067415730337,0.09288928571428572,0.663438202247191,0.3303892857142857,134.992,100.15500000000002,0.30335280898876404,0.17884821428571432,0.649420224719101,0.3770625
서초구,반포4동,370,528,232,0,34,30,246,0,64,47,0,296,357,74,171,0.8,0.6270270270270271,0.0,0.0918918918918919,0.081081081081081,0.6761363636363636,0.4659090909090909,0.0,0.1212121212121212,0.0890151515151515,0.0,8.806,29.070000000000004,0.023799999999999998,0.055056818181818186,0.8238000000000001,0.7311931818181818,60.37,66.95100000000001,0.16316216216216214,0.12680113636363638,0.7901891891891892,0.5927102272727273
서초구,반포본동,123,148,17,0,0,0,0,0,0,0,41,17,0,106,107,0.1382113821138211,0.1382113821138211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277027027027027,12.613999999999999,19.092000000000002,0.10255284552845528,0.129,0.2407642276422764,0.129,73.458,36.428000000000004,0.5972195121951219,0.24613513513513516,0.735430894308943,0.24613513513513516
서초구,방배1동,312,378,74,57,23,0,73,0,11,0,0,154,84,158,294,0.4935897435897436,0.2371794871794871,0.1826923076923076,0.0737179487179487,0.0,0.2222222222222222,0.1931216931216931,0.0,0.0291005291005291,0.0,0.0,18.802,49.980000000000004,0.06026282051282051,0.13222222222222224,0.5538525641025641,0.35444444444444445,120.85399999999998,100.00200000000001,0.3873525641025641,0.2645555555555556,0.6245320512820511,0.4576772486772487
서초구,방배2동,314,366,128,39,0,54,134,0,0,155,0,221,289,93,77,0.7038216560509554,0.4076433121019108,0.1242038216560509,0.0,0.1719745222929936,0.7896174863387978,0.366120218579235,0.0,0.0,0.4234972677595628,0.0,11.067,13.090000000000002,0.03524522292993631,0.03576502732240438,0.7390668789808916,0.8253825136612022,77.655,38.969,0.24730891719745224,0.10647267759562842,0.654952229299363,0.47259289617486344
서초구,방배3동,318,410,124,34,2,6,129,0,41,11,178,166,181,152,51,0.5220125786163522,0.389937106918239,0.1069182389937107,0.0062893081761006,0.0188679245283018,0.4414634146341463,0.3146341463414634,0.0,0.1,0.0268292682926829,0.4341463414634146,18.088,12.586,0.05688050314465409,0.03069756097560976,0.5788930817610063,0.47216097560975606,111.3,23.157,0.35,0.05648048780487805,0.739937106918239,0.3711146341463415
