기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,마포구,공덕동,18,7,0,0,4,6,0,1
2020,마포구,아현동,20,8,0,0,4,5,0,3
2020,양천구,목1동,12,3,0,0,1,7,0,1
2020,양천구,목2동,15,3,0,0,4,8,0,0
2020,양천구,목3동,13,4,0,1,3,5,0,0
2020,양천구,목4동,12,5,0,0,3,4,0,0
2020,양천구,신월1동,17,2,0,0,8,7,0,0
2020,양천구,신월2동,20,3,0,0,3,14,0,0
2020,양천구,신월3동,14,4,0,0,4,5,0,1
2020,양천구,신월4동,18,3,0,0,4,11,0,0
2020,양천구,신월5동,13,4,0,0,2,5,1,1
2020,양천구,신월6동,10,5,0,0,2,3,0,0
2020,양천구,신월7동,12,2,0,0,5,5,0,0
2020,양천구,신정1동,10,2,0,0,1,6,0,1
2020,양천구,신정2동,11,2,0,0,2,7,0,0
2020,양천구,신정3동,37,19,0,0,2,16,0,0
2020,양천구,신정6동,11,2,0,0,2,6,0,1
2020,양천구,신정7동,19,6,0,0,0,12,0,1
2020,양천구,목5동,16,4,0,0,2,9,0,1
2020,양천구,신정4동,21,9,0,0,5,6,0,1
2020,강서구,염창동,33,7,0,0,9,15,0,2
2020,강서구,등촌1동,13,4,0,0,2,5,0,2
2020,강서구,등촌2동,10,2,0,0,4,3,1,0
2020,강서구,등촌3동,16,8,0,0,1,6,1,0
2020,강서구,화곡본동,29,4,0,1,17,6,1,0
2020,강서구,화곡2동,10,3,0,1,2,4,0,0
2020,강서구,화곡3동,13,4,0,1,3,5,0,0
2020,강서구,화곡4동,12,1,0,0,6,5,0,0
2020,강서구,화곡6동,11,2,0,0,6,1,1,1
2020,강서구,화곡8동,14,4,0,0,5,5,0,0
2020,강서구,가양1동,22,3,0,0,2,10,0,7
2020,강서구,가양2동,6,3,0,0,1,2,0,0
2020,강서구,가양3동,13,3,0,0,3,7,0,0
2020,강서구,발산1동,35,8,1,0,10,15,0,1
2020,강서구,공항동,21,6,1,0,0,13,0,1
2020,강서구,방화1동,37,12,0,0,4,21,0,0
2020,강서구,방화2동,11,3,0,0,3,5,0,0
2020,강서구,방화3동,14,4,0,0,5,5,0,0
2020,강서구,화곡1동,24,4,0,0,14,6,0,0
2020,강서구,우장산동,29,5,0,0,6,17,0,1
2020,구로구,신도림동,31,6,0,0,9,16,0,0
2020,구로구,구로1동,25,4,0,1,1,17,0,2
2020,구로구,구로3동,22,9,0,2,3,6,0,2
2020,구로구,구로4동,17,6,0,0,2,9,0,0
2020,구로구,구로5동,19,3,0,1,7,8,0,0
2020,구로구,고척1동,14,3,1,0,5,5,0,0
2020,구로구,고척2동,21,5,1,1,8,6,0,0
2020,구로구,개봉2동,23,10,0,0,3,10,0,0
2020,구로구,개봉3동,10,4,0,0,4,2,0,0
2020,구로구,오류1동,13,3,0,0,3,5,1,1
2020,구로구,수궁동,12,2,0,0,5,3,2,0
2020,구로구,가리봉동,3,2,0,0,1,0,0,0
2020,구로구,구로2동,16,3,0,0,7,4,0,2
2020,구로구,개봉1동,21,7,1,0,5,8,0,0
2020,구로구,오류2동,34,15,0,0,5,12,1,1
2020,구로구,항동,18,10,0,0,0,8,0,0
2020,금천구,가산동,12,3,0,2,3,0,0,4
2020,금천구,독산1동,26,14,0,1,2,7,0,2
2020,금천구,독산2동,17,5,0,0,5,7,0,0
2020,금천구,독산3동,11,3,0,1,5,2,0,0
2020,금천구,독산4동,10,3,0,0,6,1,0,0
2020,금천구,시흥1동,24,6,0,2,4,11,0,1
2020,금천구,시흥2동,18,11,0,0,0,7,0,0
2020,금천구,시흥3동,4,2,0,1,1,0,0,0
2020,금천구,시흥4동,14,3,0,3,7,1,0,0
2020,금천구,시흥5동,14,4,1,0,7,2,0,0
2020,영등포구,여의동,32,3,0,0,0,4,0,25
2020,영등포구,당산1동,14,5,0,0,4,4,0,1
2020,영등포구,당산2동,20,8,0,0,4,7,0,1
2020,영등포구,양평1동,14,4,0,0,4,6,0,0
2020,영등포구,양평2동,20,6,1,1,0,8,0,4
2020,영등포구,신길1동,8,3,0,0,2,3,0,0
2020,영등포구,신길3동,10,3,0,0,1,6,0,0
2020,영등포구,신길4동,6,3,0,0,3,0,0,0
2020,영등포구,신길5동,3,3,0,0,0,0,0,0
2020,영등포구,신길6동,13,5,0,0,4,4,0,0
2020,영등포구,신길7동,11,4,0,0,1,5,0,1
2020,영등포구,대림1동,9,3,0,0,5,1,0,0
2020,영등포구,대림2동,6,2,0,0,3,1,0,0
2020,영등포구,대림3동,12,4,0,0,3,5,0,0
2020,영등포구,영등포본동,14,4,0,0,3,7,0,0
2020,영등포구,영등포동,10,5,0,0,4,1,0,0
2020,영등포구,도림동,11,3,1,1,2,4,0,0
2020,영등포구,문래동,27,10,0,0,5,10,0,2
2020,동작구,노량진2동,2,1,0,0,0,0,0,1
2020,동작구,상도1동,20,7,1,0,5,6,0,1
