,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
188,2020,노원구,중계2.3동,620,281,40,,,299,,,537,247,36,,,254,,
189,2020,노원구,공릉1동,766,230,,,371,165,,,624,197,,,301,126,,
190,2020,은평구,소계,"12,901","4,104",,356,"7,268",979,20,174,"10,082","3,534",,281,"5,426",707,16,118
191,2020,은평구,녹번동,"1,302",467,,80,605,76,,74,"1,153",419,,71,539,54,,70
192,2020,은평구,불광1동,"1,004",273,,,559,132,,40,718,240,,,359,96,,23
193,2020,은평구,갈현1동,576,125,,52,382,17,,,392,98,,37,240,17,,
194,2020,은평구,갈현2동,761,259,,,444,38,20,,548,197,,,303,32,16,
195,2020,은평구,구산동,801,287,,20,474,20,,,616,264,,18,314,20,,
196,2020,은평구,대조동,700,99,,40,508,53,,,563,83,,19,432,29,,
197,2020,은평구,응암1동,"1,065",345,,,700,20,,,920,298,,,622,,,
198,2020,은평구,응암2동,964,578,,,270,116,,,870,506,,,255,109,,
199,2020,은평구,신사1동,796,91,,,648,57,,,533,82,,,420,31,,
200,2020,은평구,신사2동,559,111,,,448,,,,445,100,,,345,,,
201,2020,은평구,증산동,358,99,,,106,153,,,288,88,,,89,111,,
202,2020,은평구,수색동,141,88,,,,53,,,97,69,,,,28,,
203,2020,은평구,진관동,"1,645",562,,,943,80,,60,"1,143",456,,,594,68,,25
204,2020,은평구,불광2동,473,190,,,245,38,,,348,159,,,163,26,,
205,2020,은평구,응암3동,567,111,,48,408,,,,445,105,,33,307,,,
206,2020,은평구,역촌동,"1,189",419,,116,528,126,,,"1,003",370,,103,444,86,,
207,2020,서대문구,소계,"6,809","3,221",,82,"2,299",654,29,524,"5,754","2,864",,73,"1,827",594,20,376
208,2020,서대문구,천연동,504,116,,,356,32,,,398,94,,,279,25,,
209,2020,서대문구,홍제1동,564,286,,,186,92,,,478,231,,,177,70,,
210,2020,서대문구,홍제3동,445,268,,,139,38,,,386,237,,,112,37,,
211,2020,서대문구,홍제2동,308,195,,,75,38,,,229,171,,,22,36,,
212,2020,서대문구,홍은1동,320,142,,,91,58,29,,242,132,,,35,55,20,
213,2020,서대문구,홍은2동,250,102,,,134,14,,,205,99,,,92,14,,
214,2020,서대문구,남가좌1동,470,341,,,32,97,,,455,330,,,32,93,,
215,2020,서대문구,남가좌2동,754,399,,,247,108,,,660,337,,,222,101,,
216,2020,서대문구,북가좌1동,421,330,,,,91,,,403,316,,,,87,,
217,2020,서대문구,북가좌2동,496,168,,,279,49,,,435,154,,,238,43,,
218,2020,서대문구,충현동,461,65,,30,257,19,,90,422,60,,23,241,18,,80
219,2020,서대문구,북아현동,644,433,,,211,,,,556,397,,,159,,,
220,2020,서대문구,신촌동,495,88,,52,,,,355,353,65,,50,,,,238
221,2020,서대문구,연희동,677,288,,,292,18,,79,532,241,,,218,15,,58
222,2020,마포구,소계,"9,093","4,700",,167,"1,899","1,193",153,981,"7,459","3,928",,127,"1,625",972,139,668
223,2020,마포구,용강동,439,247,,49,44,99,,,405,229,,35,44,97,,
224,2020,마포구,대흥동,274,274,,,,,,,205,205,,,,,,
225,2020,마포구,염리동,294,182,,,92,20,,,199,153,,,39,7,,
226,2020,마포구,신수동,548,389,,,81,78,,,473,358,,,64,51,,
227,2020,마포구,서교동,404,367,,,,37,,,312,282,,,,30,,
228,2020,마포구,합정동,407,214,,,,70,38,85,307,185,,,,43,32,47
229,2020,마포구,망원1동,533,212,,,223,98,,,427,159,,,196,72,,
230,2020,마포구,망원2동,457,126,,,213,118,,,419,117,,,200,102,,
231,2020,마포구,연남동,210,75,,,96,39,,,164,56,,,69,39,,
232,2020,마포구,성산1동,213,49,,,49,39,76,,192,49,,,43,25,75,
233,2020,마포구,성산2동,"1,074",360,,40,311,216,39,108,909,313,,34,254,187,32,89
234,2020,마포구,상암동,"1,379",615,,29,138,38,,559,"1,104",548,,27,110,36,,383
235,2020,마포구,도화동,461,252,,,,134,,75,395,225,,,,115,,55
236,2020,마포구,서강동,703,414,,49,240,,,,618,352,,31,235,,,
237,2020,마포구,공덕동,747,406,,,196,110,,35,581,309,,,177,77,,18
238,2020,마포구,아현동,950,518,,,216,97,,119,749,388,,,194,91,,76
239,2020,양천구,소계,"11,440","4,708",,43,"3,919","2,370",16,384,"8,966","4,019",,37,"2,879","1,737",9,285
240,2020,양천구,목1동,348,149,,,49,113,,37,308,133,,,42,105,,28
241,2020,양천구,목2동,742,275,,,321,146,,,605,222,,,263,120,,
242,2020,양천구,목3동,566,237,,43,188,98,,,464,201,,37,152,74,,
243,2020,양천구,목4동,465,196,,,197,72,,,372,156,,,165,51,,
244,2020,양천구,신월1동,794,203,,,467,124,,,566,171,,,318,77,,
245,2020,양천구,신월2동,801,226,,,309,266,,,653,202,,,253,198,,
246,2020,양천구,신월3동,556,231,,,183,85,,57,355,183,,,70,45,,57
247,2020,양천구,신월4동,653,213,,,236,204,,,506,209,,,162,135,,
248,2020,양천구,신월5동,508,224,,,159,93,16,16,354,178,,,116,39,9,12
249,2020,양천구,신월6동,509,256,,,202,51,,,459,239,,,180,40,,
250,2020,양천구,신월7동,612,170,,,378,64,,,472,137,,,280,55,,
251,2020,양천구,신정1동,358,175,,,31,92,,60,304,169,,,26,85,,24
