,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
193,2020,은평구,구산동,15,6,-,1,7,1,-,-
194,2020,은평구,대조동,13,3,-,1,6,3,-,-
195,2020,은평구,응암1동,13,5,-,-,7,1,-,-
196,2020,은평구,응암2동,19,10,-,-,3,6,-,-
197,2020,은평구,신사1동,13,2,-,-,8,3,-,-
198,2020,은평구,신사2동,10,3,-,-,7,-,-,-
199,2020,은평구,증산동,12,2,-,-,2,8,-,-
200,2020,은평구,수색동,4,1,-,-,-,3,-,-
201,2020,은평구,진관동,38,14,-,-,18,4,-,2
202,2020,은평구,불광2동,10,3,-,-,5,2,-,-
203,2020,은평구,응암3동,9,2,-,1,6,-,-,-
204,2020,은평구,역촌동,24,6,-,3,8,7,-,-
205,2020,서대문구,소계,143,61,-,2,38,36,1,5
206,2020,서대문구,천연동,9,2,-,-,5,2,-,-
207,2020,서대문구,홍제1동,11,4,-,-,2,5,-,-
208,2020,서대문구,홍제3동,10,6,-,-,2,2,-,-
209,2020,서대문구,홍제2동,5,2,-,-,1,2,-,-
210,2020,서대문구,홍은1동,9,4,-,-,1,3,1,-
211,2020,서대문구,홍은2동,6,2,-,-,3,1,-,-
212,2020,서대문구,남가좌1동,12,6,-,-,1,5,-,-
213,2020,서대문구,남가좌2동,18,8,-,-,4,6,-,-
214,2020,서대문구,북가좌1동,10,5,-,-,-,5,-,-
215,2020,서대문구,북가좌2동,13,4,-,-,6,3,-,-
216,2020,서대문구,충현동,8,1,-,1,4,1,-,1
217,2020,서대문구,북아현동,15,11,-,-,4,-,-,-
218,2020,서대문구,신촌동,5,1,-,1,-,-,-,3
219,2020,서대문구,연희동,12,5,-,-,5,1,-,1
220,2020,마포구,소계,204,78,-,4,35,66,4,17
221,2020,마포구,용강동,11,4,-,1,1,5,-,-
222,2020,마포구,대흥동,4,4,-,-,-,-,-,-
223,2020,마포구,염리동,6,3,-,-,2,1,-,-
224,2020,마포구,신수동,11,5,-,-,2,4,-,-
225,2020,마포구,서교동,9,7,-,-,-,2,-,-
226,2020,마포구,합정동,9,3,-,-,-,4,1,1
227,2020,마포구,망원1동,13,4,-,-,4,5,-,-
228,2020,마포구,망원2동,10,2,-,-,2,6,-,-
229,2020,마포구,연남동,5,1,-,-,2,2,-,-
230,2020,마포구,성산1동,6,1,-,-,1,2,2,-
231,2020,마포구,성산2동,27,4,-,1,5,15,1,1
232,2020,마포구,상암동,32,15,-,1,4,2,-,10
233,2020,마포구,도화동,11,3,-,-,-,7,-,1
234,2020,마포구,서강동,12,7,-,1,4,-,-,-
235,2020,마포구,공덕동,18,7,-,-,4,6,-,1
236,2020,마포구,아현동,20,8,-,-,4,5,-,3
237,2020,양천구,소계,281,82,-,1,53,136,1,8
238,2020,양천구,목1동,12,3,-,-,1,7,-,1
239,2020,양천구,목2동,15,3,-,-,4,8,-,-
240,2020,양천구,목3동,13,4,-,1,3,5,-,-
241,2020,양천구,목4동,12,5,-,-,3,4,-,-
